X,Y,OBJECTID,PLA_ID,PLA_REG_NUM,PLA_NAME,FAC_L_ADDR_1,FAC_L_CITY,FAC_L_STATE,FAC_L_ZIP5,PLA_NAC_CODE_PRIMARY,PLA_PRINCIPAL_PRODUCT,PLA_ICIS_ID,PLA_DESC,PCL_STATE_DESC,AIR_OP_STATUS,PCL_FED_DESC,Data_Disclaimer
-8621078.4882,4537508.9856,2955,44824,53182,James River Equipment - Portable 53182,11053 Leadbetter Rd,Ashland,VA,23005,327999,Crushed aggregate,VA0000005108553182,MGL 842T Conveyor S/N 842T360,True Minor,Operating,True Minor,"In collaboration with various agencies and organizations, DEQ strives to deliver accurate, useful, and up-to-date information. While every effort is made to ensure the accuracy of the data, it is possible that errors may arise from the physical sources used in developing these resources. Users should be aware of potential limitations and take responsibility for how they use the information, considering factors such as potential errors, original map scale, collection methodology, and data currency. For accurate application, users should consult relevant federal, state, or local resource management officials. Please report any errors or omissions to DEQ via email or phone. By accessing DEQ data, you agree to the terms and conditions outlined above."
-8590841.8822,4692656.1563,2956,44875,53195,Promac Group - Portable 53195,15671 Hwy Forty Seven,Chase City,VA,23924,327999,Crushed aggregate,VA0000005111753195,Sandvik QI353 HS Crusher,True Minor,Operating,True Minor,"In collaboration with various agencies and organizations, DEQ strives to deliver accurate, useful, and up-to-date information. While every effort is made to ensure the accuracy of the data, it is possible that errors may arise from the physical sources used in developing these resources. Users should be aware of potential limitations and take responsibility for how they use the information, considering factors such as potential errors, original map scale, collection methodology, and data currency. For accurate application, users should consult relevant federal, state, or local resource management officials. Please report any errors or omissions to DEQ via email or phone. By accessing DEQ data, you agree to the terms and conditions outlined above."
-8590428.1578,4693263.3184,2957,44889,74312,Vulcan Construction Materials LLC - Portable 4,5412 Industrial Drive,Springfield,VA,22151,212319,Crushed Concrete,VA0000005105974312,Conveyor belt,True Minor,Operating,True Minor,"In collaboration with various agencies and organizations, DEQ strives to deliver accurate, useful, and up-to-date information. While every effort is made to ensure the accuracy of the data, it is possible that errors may arise from the physical sources used in developing these resources. Users should be aware of potential limitations and take responsibility for how they use the information, considering factors such as potential errors, original map scale, collection methodology, and data currency. For accurate application, users should consult relevant federal, state, or local resource management officials. Please report any errors or omissions to DEQ via email or phone. By accessing DEQ data, you agree to the terms and conditions outlined above."
-8617498.4748,4493477.4733,2958,44894,53201,Commonwealth Equipment - Portable 53201,1711 Reymet Rd,Richmond,VA,23237,327999,Crushed Aggregate,VA0000005104153201,Terracon Tracked Conveyor 4080T S/N 2024046,True Minor,Operating,True Minor,"In collaboration with various agencies and organizations, DEQ strives to deliver accurate, useful, and up-to-date information. While every effort is made to ensure the accuracy of the data, it is possible that errors may arise from the physical sources used in developing these resources. Users should be aware of potential limitations and take responsibility for how they use the information, considering factors such as potential errors, original map scale, collection methodology, and data currency. For accurate application, users should consult relevant federal, state, or local resource management officials. Please report any errors or omissions to DEQ via email or phone. By accessing DEQ data, you agree to the terms and conditions outlined above."
-8617498.4748,4493477.4733,2959,44896,53203,Commonwealth Equipment - Portable 53203,1711 Reymet Rd,Richmond,VA,23237,327999,Crushed Aggregate,VA0000005104153203,Terracon Tracked Conveyor 4080T S/N 2024051,True Minor,Operating,True Minor,"In collaboration with various agencies and organizations, DEQ strives to deliver accurate, useful, and up-to-date information. While every effort is made to ensure the accuracy of the data, it is possible that errors may arise from the physical sources used in developing these resources. Users should be aware of potential limitations and take responsibility for how they use the information, considering factors such as potential errors, original map scale, collection methodology, and data currency. For accurate application, users should consult relevant federal, state, or local resource management officials. Please report any errors or omissions to DEQ via email or phone. By accessing DEQ data, you agree to the terms and conditions outlined above."
-8617498.4748,4493477.4733,2960,44897,53204,Commonwealth Equipment - Portable 53204,1711 Reymet Rd,Richmond,VA,23237,327999,Crushed Aggregate,VA0000005104153204,Terracon Tracked Conveyor 4080T S/N 2024052,True Minor,Operating,True Minor,"In collaboration with various agencies and organizations, DEQ strives to deliver accurate, useful, and up-to-date information. While every effort is made to ensure the accuracy of the data, it is possible that errors may arise from the physical sources used in developing these resources. Users should be aware of potential limitations and take responsibility for how they use the information, considering factors such as potential errors, original map scale, collection methodology, and data currency. For accurate application, users should consult relevant federal, state, or local resource management officials. Please report any errors or omissions to DEQ via email or phone. By accessing DEQ data, you agree to the terms and conditions outlined above."
-8617498.4748,4493477.4733,2961,44899,53206,Commonwealth Equipment - Portable 53206,1711 Reymet Rd,Richmond,VA,23237,327999,Crushed Aggregate,VA0000005104153206,McCloskey Tracked Crusher J50 S/N 710678,True Minor,Operating,True Minor,"In collaboration with various agencies and organizations, DEQ strives to deliver accurate, useful, and up-to-date information. While every effort is made to ensure the accuracy of the data, it is possible that errors may arise from the physical sources used in developing these resources. Users should be aware of potential limitations and take responsibility for how they use the information, considering factors such as potential errors, original map scale, collection methodology, and data currency. For accurate application, users should consult relevant federal, state, or local resource management officials. Please report any errors or omissions to DEQ via email or phone. By accessing DEQ data, you agree to the terms and conditions outlined above."
-8617498.4748,4493477.4733,2962,44900,53207,Commonwealth Equipment - Portable 53207,1711 Reymet Rd,Richmond,VA,23237,327999,Crushed Aggregate,VA0000005104153207,McCloskey Tracked Crusher J50 S/N 710691,True Minor,Operating,True Minor,"In collaboration with various agencies and organizations, DEQ strives to deliver accurate, useful, and up-to-date information. While every effort is made to ensure the accuracy of the data, it is possible that errors may arise from the physical sources used in developing these resources. Users should be aware of potential limitations and take responsibility for how they use the information, considering factors such as potential errors, original map scale, collection methodology, and data currency. For accurate application, users should consult relevant federal, state, or local resource management officials. Please report any errors or omissions to DEQ via email or phone. By accessing DEQ data, you agree to the terms and conditions outlined above."
-8617498.4748,4493477.4733,2963,44904,53211,Commonwealth Equipment - Portable 53211,1711 Reymet Rd,Richmond,VA,23237,327999,Crushed Aggregate,VA0000005104153211,McCloskey Tracked Crusher J50 S/N 710718,True Minor,Operating,True Minor,"In collaboration with various agencies and organizations, DEQ strives to deliver accurate, useful, and up-to-date information. While every effort is made to ensure the accuracy of the data, it is possible that errors may arise from the physical sources used in developing these resources. Users should be aware of potential limitations and take responsibility for how they use the information, considering factors such as potential errors, original map scale, collection methodology, and data currency. For accurate application, users should consult relevant federal, state, or local resource management officials. Please report any errors or omissions to DEQ via email or phone. By accessing DEQ data, you agree to the terms and conditions outlined above."
-8617498.4748,4493477.4733,2964,44905,53212,Commonwealth Equipment - Portable 53212,1711 Reymet Rd,Richmond,VA,23237,327999,Crushed Aggregate,VA0000005104153212,McCloskey Tracked Crusher J50 S/N 903609,True Minor,Operating,True Minor,"In collaboration with various agencies and organizations, DEQ strives to deliver accurate, useful, and up-to-date information. While every effort is made to ensure the accuracy of the data, it is possible that errors may arise from the physical sources used in developing these resources. Users should be aware of potential limitations and take responsibility for how they use the information, considering factors such as potential errors, original map scale, collection methodology, and data currency. For accurate application, users should consult relevant federal, state, or local resource management officials. Please report any errors or omissions to DEQ via email or phone. By accessing DEQ data, you agree to the terms and conditions outlined above."
-8617498.4748,4493477.4733,2965,44906,53213,Commonwealth Equipment - Portable 53213,1711 Reymet Rd,Richmond,VA,23237,327999,Crushed Aggregate,VA0000005104153213,McCloskey Tracked Crusher J50 S/N 903784,True Minor,Operating,True Minor,"In collaboration with various agencies and organizations, DEQ strives to deliver accurate, useful, and up-to-date information. While every effort is made to ensure the accuracy of the data, it is possible that errors may arise from the physical sources used in developing these resources. Users should be aware of potential limitations and take responsibility for how they use the information, considering factors such as potential errors, original map scale, collection methodology, and data currency. For accurate application, users should consult relevant federal, state, or local resource management officials. Please report any errors or omissions to DEQ via email or phone. By accessing DEQ data, you agree to the terms and conditions outlined above."
-8488369.7199,4415716.7292,2966,44909,61932,Norfolk RMC Facility - Portable 61932,602 Ford Drive,Norfolk,VA,23523,327320,Ready-Mix Concrete Batch Plant,VA0000005171061932,Ready-Mix Concrete Batch Plant,,Operating,,"In collaboration with various agencies and organizations, DEQ strives to deliver accurate, useful, and up-to-date information. While every effort is made to ensure the accuracy of the data, it is possible that errors may arise from the physical sources used in developing these resources. Users should be aware of potential limitations and take responsibility for how they use the information, considering factors such as potential errors, original map scale, collection methodology, and data currency. For accurate application, users should consult relevant federal, state, or local resource management officials. Please report any errors or omissions to DEQ via email or phone. By accessing DEQ data, you agree to the terms and conditions outlined above."
-8718452.667,4409390.7775,2967,44910,53215,Promac Group - Portable 53215,15671 Hwy Forty Seven,Chase City,VA,23924,327999,Crushed Aggregate,VA0000005111753215,Sandvik QA441 S/N 10122,True Minor,Operating,True Minor,"In collaboration with various agencies and organizations, DEQ strives to deliver accurate, useful, and up-to-date information. While every effort is made to ensure the accuracy of the data, it is possible that errors may arise from the physical sources used in developing these resources. Users should be aware of potential limitations and take responsibility for how they use the information, considering factors such as potential errors, original map scale, collection methodology, and data currency. For accurate application, users should consult relevant federal, state, or local resource management officials. Please report any errors or omissions to DEQ via email or phone. By accessing DEQ data, you agree to the terms and conditions outlined above."
-8718452.667,4409390.7775,2968,44911,53216,Promac Group - Portable 53216,15671 Hwy Forty Seven,Chase City,VA,23924,327999,Crushed aggregate,VA0000005111753216,Sandvik QE342 S/N 10163,True Minor,Operating,True Minor,"In collaboration with various agencies and organizations, DEQ strives to deliver accurate, useful, and up-to-date information. While every effort is made to ensure the accuracy of the data, it is possible that errors may arise from the physical sources used in developing these resources. Users should be aware of potential limitations and take responsibility for how they use the information, considering factors such as potential errors, original map scale, collection methodology, and data currency. For accurate application, users should consult relevant federal, state, or local resource management officials. Please report any errors or omissions to DEQ via email or phone. By accessing DEQ data, you agree to the terms and conditions outlined above."
-8718452.667,4409390.7775,2969,44912,53217,Promac Group - Portable 53217,15671 Hwy Forty Seven,Chase City,VA,23924,327999,Crushed aggregate,VA0000005111753217,Sandvik UJ440i S/N 10046,True Minor,Operating,True Minor,"In collaboration with various agencies and organizations, DEQ strives to deliver accurate, useful, and up-to-date information. While every effort is made to ensure the accuracy of the data, it is possible that errors may arise from the physical sources used in developing these resources. Users should be aware of potential limitations and take responsibility for how they use the information, considering factors such as potential errors, original map scale, collection methodology, and data currency. For accurate application, users should consult relevant federal, state, or local resource management officials. Please report any errors or omissions to DEQ via email or phone. By accessing DEQ data, you agree to the terms and conditions outlined above."
-8623494.5515,4539927.6583,2970,44919,53218,Atlantic Materials Services LLC - Portable 53218,10400 Sadisco Dr,Ashland,VA,23005,327999,Crushed aggregate,VA0000005108553218,Terex Finlay 883+ S/N TRX883STPDGG11767,True Minor,Operating,True Minor,"In collaboration with various agencies and organizations, DEQ strives to deliver accurate, useful, and up-to-date information. While every effort is made to ensure the accuracy of the data, it is possible that errors may arise from the physical sources used in developing these resources. Users should be aware of potential limitations and take responsibility for how they use the information, considering factors such as potential errors, original map scale, collection methodology, and data currency. For accurate application, users should consult relevant federal, state, or local resource management officials. Please report any errors or omissions to DEQ via email or phone. By accessing DEQ data, you agree to the terms and conditions outlined above."
-8810016.0417,4497389.5432,2971,44924,21784,Virginia Steel & Building Specialties Inc,713 Jefferston St,Lynchburg,VA,24504,332312,Fabricated metal products,VA0000005168021784,"Paint spray booth, plasma cutting, welding, & bandsaw",Synthetic Minor,Operating,Synthetic Minor,"In collaboration with various agencies and organizations, DEQ strives to deliver accurate, useful, and up-to-date information. While every effort is made to ensure the accuracy of the data, it is possible that errors may arise from the physical sources used in developing these resources. Users should be aware of potential limitations and take responsibility for how they use the information, considering factors such as potential errors, original map scale, collection methodology, and data currency. For accurate application, users should consult relevant federal, state, or local resource management officials. Please report any errors or omissions to DEQ via email or phone. By accessing DEQ data, you agree to the terms and conditions outlined above."
-8703806.2053,4715960.2145,2972,44928,81847,Wal-Mart Stores East LP dba Walmart Supercenter #5,10 Riverton Commons Drive,Front Royal,VA,22630,455211,misc general stores,VA0000005118781847,Generator,True Minor,Operating,True Minor,"In collaboration with various agencies and organizations, DEQ strives to deliver accurate, useful, and up-to-date information. While every effort is made to ensure the accuracy of the data, it is possible that errors may arise from the physical sources used in developing these resources. Users should be aware of potential limitations and take responsibility for how they use the information, considering factors such as potential errors, original map scale, collection methodology, and data currency. For accurate application, users should consult relevant federal, state, or local resource management officials. Please report any errors or omissions to DEQ via email or phone. By accessing DEQ data, you agree to the terms and conditions outlined above."
-8623515.1922,4539840.1154,2973,43479,52624,Atlantic Contracting and Material Co Inc - Portable 52624,10500 Sadisco Dr,Ashland,VA,23005,423810,Portable Crusher,VA0000005108552624,Powerscreen Maxtrak 1150  (per 2017 app PID11MXTTEOMGA3106),True Minor,Operating,True Minor,"In collaboration with various agencies and organizations, DEQ strives to deliver accurate, useful, and up-to-date information. While every effort is made to ensure the accuracy of the data, it is possible that errors may arise from the physical sources used in developing these resources. Users should be aware of potential limitations and take responsibility for how they use the information, considering factors such as potential errors, original map scale, collection methodology, and data currency. For accurate application, users should consult relevant federal, state, or local resource management officials. Please report any errors or omissions to DEQ via email or phone. By accessing DEQ data, you agree to the terms and conditions outlined above."
-8990146.8257,4402960.483,2974,31414,11197,Turman Sawmill,555 Expansion Dr,Hillsville,VA,24343,321113,processed lumber,VA0000005103500077,sawmill w/wood planer,Synthetic Minor,Operating,Synthetic Minor,"In collaboration with various agencies and organizations, DEQ strives to deliver accurate, useful, and up-to-date information. While every effort is made to ensure the accuracy of the data, it is possible that errors may arise from the physical sources used in developing these resources. Users should be aware of potential limitations and take responsibility for how they use the information, considering factors such as potential errors, original map scale, collection methodology, and data currency. For accurate application, users should consult relevant federal, state, or local resource management officials. Please report any errors or omissions to DEQ via email or phone. By accessing DEQ data, you agree to the terms and conditions outlined above."
-8624200.2524,4686017.858,2975,33564,72039,New Method Cleaners Inc,9414 Battle St,Manassas,VA,20110,812320,drycleaner,VA0000005168300100,drycleaner,True Minor,Operating,True Minor,"In collaboration with various agencies and organizations, DEQ strives to deliver accurate, useful, and up-to-date information. While every effort is made to ensure the accuracy of the data, it is possible that errors may arise from the physical sources used in developing these resources. Users should be aware of potential limitations and take responsibility for how they use the information, considering factors such as potential errors, original map scale, collection methodology, and data currency. For accurate application, users should consult relevant federal, state, or local resource management officials. Please report any errors or omissions to DEQ via email or phone. By accessing DEQ data, you agree to the terms and conditions outlined above."
-8513528.5297,4413934.221,2976,43681,61749,Western Fumigation - QFF 61749,1100 Bowen Pkwy,Suffolk,VA,23435,561710,QFF,VA0000005180061749,QFF,True Minor,Seasonal,True Minor,"In collaboration with various agencies and organizations, DEQ strives to deliver accurate, useful, and up-to-date information. While every effort is made to ensure the accuracy of the data, it is possible that errors may arise from the physical sources used in developing these resources. Users should be aware of potential limitations and take responsibility for how they use the information, considering factors such as potential errors, original map scale, collection methodology, and data currency. For accurate application, users should consult relevant federal, state, or local resource management officials. Please report any errors or omissions to DEQ via email or phone. By accessing DEQ data, you agree to the terms and conditions outlined above."
-8502005.07,4411755.975,2977,43720,61768,Western Fumigation - QFF 61768,2011 Ponderosa Street,Portsmouth,VA,23701,561710,QFF,VA0000005174061768,QFF,True Minor,Seasonal,True Minor,"In collaboration with various agencies and organizations, DEQ strives to deliver accurate, useful, and up-to-date information. While every effort is made to ensure the accuracy of the data, it is possible that errors may arise from the physical sources used in developing these resources. Users should be aware of potential limitations and take responsibility for how they use the information, considering factors such as potential errors, original map scale, collection methodology, and data currency. For accurate application, users should consult relevant federal, state, or local resource management officials. Please report any errors or omissions to DEQ via email or phone. By accessing DEQ data, you agree to the terms and conditions outlined above."
-8501443.2405,4411869.0059,2978,43733,61773,Western Fumigation - QFF 61773,3100 Elmhurst Lane,Portsmouth,VA,23701,561710,QFF,VA0000005174061773,QFF,True Minor,Seasonal,True Minor,"In collaboration with various agencies and organizations, DEQ strives to deliver accurate, useful, and up-to-date information. While every effort is made to ensure the accuracy of the data, it is possible that errors may arise from the physical sources used in developing these resources. Users should be aware of potential limitations and take responsibility for how they use the information, considering factors such as potential errors, original map scale, collection methodology, and data currency. For accurate application, users should consult relevant federal, state, or local resource management officials. Please report any errors or omissions to DEQ via email or phone. By accessing DEQ data, you agree to the terms and conditions outlined above."
-8532985.9522,4401803.8094,2979,43740,61779,Western Fumigation - QFF 61779,375 Kenyon Road,Suffolk,VA,23434,561710,QFF,VA0000005180061779,QFF,True Minor,Seasonal,True Minor,"In collaboration with various agencies and organizations, DEQ strives to deliver accurate, useful, and up-to-date information. While every effort is made to ensure the accuracy of the data, it is possible that errors may arise from the physical sources used in developing these resources. Users should be aware of potential limitations and take responsibility for how they use the information, considering factors such as potential errors, original map scale, collection methodology, and data currency. For accurate application, users should consult relevant federal, state, or local resource management officials. Please report any errors or omissions to DEQ via email or phone. By accessing DEQ data, you agree to the terms and conditions outlined above."
-8526328.3787,4399281.1485,2980,43758,61790,Western Fumigation - QFF 61790,631 Carolina Road,Suffolk,VA,23434,561710,QFF,VA0000005180061790,QFF,True Minor,Seasonal,True Minor,"In collaboration with various agencies and organizations, DEQ strives to deliver accurate, useful, and up-to-date information. While every effort is made to ensure the accuracy of the data, it is possible that errors may arise from the physical sources used in developing these resources. Users should be aware of potential limitations and take responsibility for how they use the information, considering factors such as potential errors, original map scale, collection methodology, and data currency. For accurate application, users should consult relevant federal, state, or local resource management officials. Please report any errors or omissions to DEQ via email or phone. By accessing DEQ data, you agree to the terms and conditions outlined above."
-8698829.6182,4434417.7272,2981,43776,52739,Lancaster Leaf of Kenbridge - QFF 52739,701 West Main St,Kenbridge,VA,23944,561710,QFF,VA0000005111152739,QFF,True Minor,Seasonal,True Minor,"In collaboration with various agencies and organizations, DEQ strives to deliver accurate, useful, and up-to-date information. While every effort is made to ensure the accuracy of the data, it is possible that errors may arise from the physical sources used in developing these resources. Users should be aware of potential limitations and take responsibility for how they use the information, considering factors such as potential errors, original map scale, collection methodology, and data currency. For accurate application, users should consult relevant federal, state, or local resource management officials. Please report any errors or omissions to DEQ via email or phone. By accessing DEQ data, you agree to the terms and conditions outlined above."
